author,channel,words,format,engagement,original
ada,clevel,30,text,14.3,true
ada,clevel,73,text,9.0,true
ada,clevel,203,text,51.7,true
ada,clevel,195,text,55.5,true
ada,clevel,254,single image,73.8,true
ada,clevel,69,text,12.6,true
ada,clevel,40,text,12.9,true
ada,clevel,168,photo album,71.5,true
ada,clevel,73,single image,15.0,true
ada,clevel,267,photo album,130.4,true
ada,clevel,57,photo album,26.9,true
ada,clevel,35,photo album,30.7,true
ada,clevel,328,text,52.0,true
ada,clevel,108,photo album,59.2,true
ada,clevel,185,photo album,98.0,true
ada,clevel,107,single image,45.7,true
ada,clevel,75,photo album,32.0,true
ada,clevel,155,photo album,87.8,true
ada,clevel,41,single image,15.8,true
ada,clevel,64,photo album,29.6,true
ada,clevel,168,single image,44.6,true
ada,clevel,296,photo album,115.0,true
ada,clevel,80,text,15.5,true
ada,clevel,34,text,8.4,true
ada,clevel,24,text,14.7,true
ada,clevel,119,photo album,72.2,true
ada,clevel,397,photo album,121.0,true
ada,clevel,118,photo album,67.1,true
ada,clevel,60,photo album,26.8,true
ada,clevel,37,photo album,34.4,true
ada,clevel,60,photo album,36.8,true
ada,clevel,98,photo album,38.9,true
ada,clevel,166,text,31.1,true
ada,clevel,67,photo album,32.9,true
ada,clevel,49,single image,15.2,true
ada,clevel,232,text,42.7,true
ada,clevel,40,photo album,39.8,true
ada,clevel,225,photo album,92.1,true
ada,clevel,43,single image,16.0,true
ada,clevel,331,single image,76.8,true
ada,clevel,80,text,8.5,true
ada,clevel,91,photo album,43.9,true
ada,clevel,63,photo album,34.0,true
ada,clevel,246,single image,53.0,true
ada,clevel,349,single image,73.4,true
ada,clevel,82,text,14.0,true
ada,clevel,24,text,10.7,true
ada,clevel,36,text,10.2,true
ada,clevel,309,text,49.9,true
ada,clevel,54,photo album,33.0,true
ada,clevel,164,single image,48.2,true
ada,clevel,280,photo album,91.0,true
ada,clevel,109,text,29.7,true
ada,clevel,146,single image,51.2,true
ada,clevel,281,single image,93.2,true
ada,clevel,360,photo album,110.6,true
ada,clevel,140,text,21.7,true
ada,clevel,102,photo album,68.5,true
ada,clevel,22,photo album,29.3,true
ada,clevel,99,photo album,41.1,true
grace,clevel,218,photo album,738.0,true
grace,clevel,21,photo album,343.5,true
grace,clevel,55,text,82.4,true
grace,clevel,266,photo album,1050.7,true
grace,clevel,83,photo album,198.6,true
grace,clevel,69,photo album,263.1,true
grace,clevel,41,photo album,196.4,true
grace,clevel,96,photo album,230.5,true
grace,clevel,348,photo album,1255.5,true
grace,clevel,127,single image,383.8,true
grace,clevel,117,text,230.8,true
grace,clevel,54,text,72.1,true
grace,clevel,164,single image,357.0,true
grace,clevel,123,photo album,382.0,true
grace,clevel,71,text,122.8,true
grace,clevel,29,photo album,252.7,true
grace,clevel,67,single image,160.5,true
grace,clevel,20,single image,150.4,true
grace,clevel,102,single image,240.2,true
grace,clevel,348,photo album,1108.9,true
grace,clevel,59,text,114.7,true
grace,clevel,82,text,114.8,true
grace,clevel,38,text,74.9,true
grace,clevel,393,text,372.1,true
grace,clevel,131,text,187.0,true
grace,clevel,22,text,110.2,true
grace,clevel,109,single image,364.0,true
grace,clevel,306,text,341.2,true
grace,clevel,68,text,101.7,true
grace,clevel,66,text,95.0,true
grace,clevel,67,photo album,237.9,true
grace,clevel,299,text,447.9,true
grace,clevel,201,text,302.0,true
grace,clevel,248,single image,720.0,true
grace,clevel,49,single image,183.8,true
grace,clevel,116,text,215.4,true
grace,clevel,27,single image,112.3,true
grace,clevel,157,single image,303.9,true
grace,clevel,115,text,171.8,true
grace,clevel,30,photo album,231.7,true
grace,clevel,22,photo album,341.4,true
grace,clevel,44,text,115.3,true
grace,clevel,119,photo album,547.6,true
grace,clevel,380,text,410.3,true
grace,clevel,75,text,70.0,true
grace,clevel,76,photo album,269.6,true
grace,clevel,223,photo album,887.3,true
grace,clevel,66,photo album,269.3,true
grace,clevel,75,text,79.2,true
grace,clevel,236,photo album,1270.9,true
grace,clevel,77,single image,120.7,true
grace,clevel,85,photo album,232.6,true
grace,clevel,371,photo album,928.6,true
grace,clevel,148,text,191.8,true
grace,clevel,73,text,82.8,true
grace,clevel,345,photo album,1245.9,true
grace,clevel,188,photo album,1254.3,true
grace,clevel,280,photo album,831.4,true
grace,clevel,23,photo album,204.3,true
grace,clevel,52,single image,166.7,true
ada,company,150,text,10,true
